"Author","Author Bio"
"Chris Knutsen","Chris Knutsen, a senior editor at Vogue who's also worked at GQ, The New Yorker, and Riverhead Books, is the co-editor of Committed: Men Tell Their Stories of Love, Commitment, and Marriage. Valerie Steiker, author of The Leopard Hat, is a senior editor at Vogue and has worked at Artforum and The New Yorker."
"Kim Barnes","Mary Clearman Blew is Professor of English and Creative Writing at the University of Idaho, Moscow. She is the author of Bone Deep in Landscape, Balsamroot: A Memoir, Lambing Out And Other Stories (University of Oklahoma Press) and Sister Coyote: Montana Stories and is coeditor of Circle of Women: An Anthology of Contemporary Western Women's Writing."
"Maria Mazziotti Gillan","Maria Mazziotti Gillan is an awardwinning poet and instructor whose volumes of poetry include Where I Come From, Things My Mother Told Me, and What We Pass On: Collected Poems 1980-2009. Her work has been appeared in a number of publications, including Boderlands, Prairie Schooner, Los Angeles Review, the Christian Science Monitor, and the New York Times. She is the director of the creative writing program at Binghampton University—State University of New York and the executive director of the Poetry Center at Passaic County Community College.&nbsp; Jennifer Gillan is a professor of English and Media Studies at Bentley University. Her other books include Television &amp; New Media: Must-Click TV, Understanding Reality TV, and Identity Lessons, coedited with Maria Mazziotti Gillan."
"Lori Marie Carlson","Lori Marie Carlson is the author of two novels, two landmark bilingual poetry anthologies, and many other young adult and children's books. Oscar Hijuelos is a first-generation Cuban American and the first Latino to win the Pulitzer Prize for fiction. He has written six novels, the most recent of which is A Simple Habana Melody. They live in New York City."
"Tonya M. Stremlau",
"Philip Zaleski","HARVEY COX is the author of the groundbreaking The Secular City and many other books, including The Seduction of the Spirit, which was nominated for the National Book Award. A professor of theology at Harvard Divinity School, he lives in Cambridge, Massachusetts."
"Jerome Klinkowitz","Nina Baym (General Editor), Ph.D. Harvard, is Swanlund Endowed Chair and Center for Advanced Study Professor Emerita of English, and Jubilee Professor of Liberal Arts and Sciences at The University of Illinois at Urbana-Champaign. She is author of The Shape of Hawthorne’s Career; Woman's Fiction: A Guide to Novels by and About Women in America; Novels, Readers, and Reviewers: Responses to Fiction in Antebellum America; American Women Writers and the Work of History, 1790-1860; and American Women of Letters and the Nineteenth-Century Sciences. Some of her essays are collected in Feminism and American Literary History; she has also edited and introduced many reissues of work by earlier American women writers, from Judith Sargent Murray through Kate Chopin. In 2000 she received the MLA’s Hubbell medal for lifetime achievement in American literary studies.Jerome Klinkowitz (co-editor, American Literature since 1945), Ph.D. Wisconsin, is University Distinguished Scholar and Professor of English at the University of Northern Iowa. He is the author or editor of over forty books in postwar culture and literature, among them, Structuring the Void: The Struggle for Subject in Contemporary American Fiction; Slaughterhouse Five: Reforming the Novel and the World; Literary Subversions: New American Fiction and the Practice of Criticism; and The Practice of Fiction in America: Writers from Hawthorne to the Present.Arnold Krupat (editor, Native American Literatures), Ph.D. Columbia, is Professor of Literature at Sarah Lawrence College. He is the author, among other books, of Ethnocriticism: Ethnography, History, Literature, The Voice in the Margin: Native American Literature and the Canon, Red Matters, and most recently, All That Remains: Native Studies (2007). He is the editor of a number of anthologies, including Native American Autobiography: An Anthology and New Voices in Native American Literary Criticism. With Brian Swann, he edited Here First: Autobiographical Essays by Native American Writers, which won the Wordcraft Circle of Native Writers and Storytellers Award for best book of nonfiction prose in 2001.Mary Loeffelholz (editor, 1914-1945), Ph.D. Yale, is Professor of English at Northeastern University. She is the author of Dickinson and the Boundaries of Feminist Theory; Experimental Lives: Women and Literature, 1900-1945; and, most recently, From School to Salon: Reading Nineteenth-Century American Women’s Poetry. Her essays have appeared in such journals as American Literary History, English Literary History, the Yale Journal of Criticism, and Modern Language Quarterly. Since 1991 she has been the editor of Studies in American Fiction.Jeanne Campbell Reesman (editor, 1865-1914), Ph.D. University of Pennsylvania, is Ashbel Smith Professor of English at the University of Texas at San Antonio. She is author of Houses of Pride: Jack London’s Race Lives, Jack London: A Study of the Short Fiction, and American Designs: The Late Novels of James and Faulkner, and editor of Speaking the Other Self: American Women Writers, and Trickster Lives: Culture and Myth in American Fiction. With Wilfred Guerin et al. she is co-author of A Handbook of Critical Approaches to Literature and with Earle Labor of Jack London: Revised Edition. With Kenneth Brandt she is co-editor of MLA Approaches to Teaching Jack London, with Leonard Cassuto Rereading Jack London, with Dale Walker No Mentor but Myself: Jack London on Writing and Writers, and with Sara S. Hodson Jack London: One Hundred Years a Writer. She and Noël Mauberret are co-editors of a series of 25 new Jack London editions in French published by Éditions Phébus of Paris. She is presently at work on two books: Mark Twain Versus God: The Story of a Relationship, and, with Sara S. Hodson, The Photography of Jack London. She is a member of the Executive Board of the American Literature Association and founder and Executive Coordinator of the Jack London Society.Patricia B. Wallace (co-edito ..."
"E. Lynn Harris","How to categorize E. Lynn Harris? An African-American novelist? A gay novelist? A literary romance writer? Nothing quite fits, but to Harris s fans, his bestselling novels belong in a genre of their own: one in which the characters are as difficult and complex as their problems, and the solutions as bittersweet and resonant as they often are in life."
"William E. Cain",
"Thomas Ferraro","Thomas J. Ferraro is associate professor of English at Duke University. He is the author of Ethnic Passages and editor of Catholic Lives, Contemporary America."
"Greg Guirard",
"Judith Ranta","JUDITH A. RANTA is a reference librarian and an English instructor at CUNY."
"Yusef Komunyakaa","Yusef Komunyakaa's eleven books of poems include Talking Dirty to the Gods (FSG, 2000) and Neon Vernacular: New and Selected Poems, for which he received the Pulitzer Prize. He teaches at Princeton University."
"Emma Forrest",
"Robert Attweiler","Edited by Martin Denton and with a foreword by Variety reviewer, Mark Blankenship, the book also includes biographical data about all of the featured playwrights, an extensive introductory essay, and an appendix listing new American plays produced in New York City during the season. All of the plays here were originally produced in New York City during the 2005-2006 theatre season."
"Barbara H. Solomon",
"Carmela Ciuraru","Carmela Ciuraru is the editor of the anthology First Loves: Poets Introduce the Essential Poems That Captivated and Inspired Them, and the former editor of the Journal of the Poetry Society of America. A graduate of Columbia University's School of Journalism, she lives in New York City."
"Aurora Levins Morales",
"Robert Coles",
"Laura Otis","Laura Otis was awarded a MacArthur Fellowship for her interdisciplinary studies of the nervous system, and is currently working at the Max Planck Institute for the History of Science in Berlin."
"Booker T. Washington",
"J. D. McClatchy","J. D. McClatchy is the author of five collections of poems: Scenes From Another Life, Stars Principal, The Rest of the Way, Ten Commandments, and Hazmat. He has also written two books of essays: White Paper and Twenty Questions. He has edited many other books, including The Vintage Book of Contemporary World Poetry, Poets on Painters, and Horace: The Odes. In addition, he edits The Voice of the Poet series for Random House AudioBooks, and has written seven opera libretti. He is a Chancellor of the Academy of American Poets and a member of the American Academy of Arts and Letters. He has taught at Princeton, UCLA, and Johns Hopkins, and is now a professor at Yale, where since 1991 he has edited The Yale Review. He lives in Stonington, Connecticut."
"Robert Shapard","Robert Shapard teaches literature and creative writing at the University of Hawaii, and co-edited Flash Fiction Forward.James Thomas teaches literature and creative writing in Yellow Springs, Ohio, and co-edited Flash Fiction Forward.Ray Gonzalez is one of America’s foremost authors, scholars, and editors in Latino literature."
"American Society Of Magazine Editors","The American Society of Magazine Editors is the professional organization for editors of consumer magazines and business publications that are edited, published and sold in the United States. It sponsors the National Magazine Awards in assosciation with the Columbia University School of Journalism."
"Cherrie Moraga",
"Burton Raffel","Burton Raffel has taught English, Classics, and Comparative Literature at universities in the United States, Israel, and Canada. His books include translations of Beowulf, Horace: Odes, Epodes, Epistles, Satires, The Complete Poetry and Prose of Chairil Anwar, From the Vietnamese, Ten Centuries of Poetry, The Complete Poetry of Osip Emilevich, Mandelstram (with Alla Burago), and Poems From the Old English and The Annotated Milton; several critical studies, Introduction to Poetry, How to Read a Poem, The Development of Modern Indonesian Poetry, and The Forked Tounge: A Study of the Translation Process; and Mia Poems, a volume of his own poetry. Mr. Raffel practiced law on Wall Street and taught in the Ford Foundation’s English Language Teacher Training Project in Indonesia."
"Andrea J. Buchanan",
"Jeffrey Eric Jenkins",
"Paul Krassner","Krassner published The Realist from 1958-2001, but when People magazine called him ""Father of the underground press,"" he immediately demanded a paternity test. His style of personal journalism constantly blurs the line between observer and participant. Krassner currently writes for High Times, the porn industry's Adult Video News, and blogs for Huffington Post. Arianna Huffington is the co-founder and editor-in-chief of The Huffington Post, a nationally syndicated columnist, and author of twelve books. The Huffington Post is one of the most widely-read, linked to, and frequently-cited media brands on the Internet. In 2006, she was named to the Time 100, Time Magazine's list of the world's 100 most influential people."
"Various",
"Geno Zanetti",
"Ralph Waldo Emerson","I live in Newport Beach, California, in central Orange County, about forty-five miles south of Los Angeles and seventy-five miles north of San Diego. I teach American literature and culture at the University of California, Irvine. In my teaching and writing, I am trying to broaden the scope of American literature in terms of works and issues. A multicultural society needs a multicultural literature.This volume on Ralph Waldo Emerson and Margaret Fuller will be the first anthology to combine Emerson's and Fuller's writings, thereby making certain that teachers and students using this book will be aware of men's and women's contributions to American Transcendentalism. In this same way, the volume focuses on the debates and conflicts among the Transcendentalists about such political questions as abolition, women's rights, westward expansion, and industrialization. This volume will represent effectively the struggles of Emerson and Fuller to change their philosophical views in response to the political crises of their times.Paul Lauter is the Smith Professor of Literature at Trinity College. He has served as president of the American Studies Association and is a major figure in the revision of the American literary canon."
"Michael S. Harper","Michael S. Harper has twice been nominated for the National Book Award.&nbsp;&nbsp;He is University Professor, Brown University, and lives in Providence, Rhode Island.Anthony Walton is the recipient of a 1998 Whiting Writer's Award.&nbsp;&nbsp;He lives in Brunswick, Maine."
"Sascha Feinstein",
"Bayo Ogunjimi","Abdul-Rasheed Na'Allah, Ph.D., has taught African performance, African and African Diaspora literature, folklore and comparative poetics in Nigeria, Canada and the United States. Among his books are Ogoni's Agonies, Almajiri, and The People's Poet: Emerging Perspectives on Niyi Osundare.  Bayo Ogunjimi, Ph.D., deceased in 1996, was a professor of African oral literature and English at the University of Ilorin, Nigeria. His critical essays have appeared in journals around the world."
"Gabriela Baeza Ventura",
"Vanessa Y. Pérez Rosario","Vanessa Pérez Rosario is an Assistant Professor of Puerto Rican and Latino Studies at The City University of New York—Brooklyn College."
"Steve Fishman",
"Valerie Key Orlando",
"Lawrence Harbison",
"Lorraine Anderson",
"Sara Nickles","Bob Shocochis is the award-winning author of several short-story collections and novels, including Swimming in the Volcano.Sara Nickles is a screenwriter and author who lives in Berkeley, California."
"Dorothy Abbott",
"Judy Alter","Judy Alter, director of TCU Press, is the author of several novels, short stories, and nonfiction for young readers. Her novel about Etta Place, Butch, Sundance, and Me, was published by Leisure Books in summer 2002. James Ward Lee is professor emeritus and former chair of the English department and director of the Center for Texas Studies at the University of North Texas. He is the author of Texas, My Texas, Classics of Texas Fiction, and Adventures with a Texas Humanist."
"Jill Ker Conway","Jill Ker Conway was born in Hillston, New South Wales, Australia, graduated from the University of Sydney in 1958, and received her Ph.D. from Harvard University in 1969.&nbsp;&nbsp;From 1964 to 1975 she taught at the University of Toronto and was Vice President there before serving for ten years as President of Smith College.&nbsp;&nbsp;Since 1985 she has been a visiting scholar and professor in M.I.T.'s Program in Science, Technology and Society, and she now lives in Boston, Massachusetts.NOTES ON CONTRIBUTORS:Margery Perham (1895-1982) went to Africa to study race relations on a Rhodes Fellowship.&nbsp;&nbsp;Her sojourn in Africa made her an expert on tribal institutions and a passionate and lifelong supporter of the rights of native peoples, in her writings and as director of the Institute of Colonial Studies.Vera Brittain (1893-1970) served as a nurse during World War I, the conflict in which her fiancée, her beloved brother, and all his friends were killed.&nbsp;&nbsp;Later Brittain became a committed feminist and wrote extensively about the psychological costs of war.&nbsp;&nbsp;Testament of Youth is a moving and influential account of the slaughter of 1914-18.Angelica Garnett (1918-&nbsp;&nbsp;&nbsp;&nbsp;) is the daughter of artist Vanessa Bell (Virginia Woolf's sister) and Bell's artist lover Duncan Grant.&nbsp;&nbsp;Garnett's memoir depicts the sophisticated, permissive, and intellectual world of the Bloomsbury circle in which she was raised, and chronicles her quest to come to terms with her extraordinary family and to pursue her own artistic career.Isak Dinesen Baroness Blixen (1885-1962) was born in Denmark and followed her husband to a coffee plantation in Kenya, where she fell in love with Africa and African people.&nbsp;&nbsp;She became a writer, twice nominated for the Nobel Prize, and is best known for her classic memoir Out of Africa.Elspeth Huxley (1907-&nbsp;&nbsp; ) was born in London and raised in Kenya on her parents' coffee plantation, developing a lifelong love of Africa.&nbsp;&nbsp;She wrote three memoirs, including The Flame Trees of Thika, and was awarded the C.B.E. in 1960 for her extensive commentary on African history and politics.Mary Benson (1919-&nbsp;&nbsp; ) was born to an affluent white family in Pretoria. She became a committed opponent of apartheid and testified against it before the United Nations.&nbsp;&nbsp;After being arrested and exiled from South Africa, she wrote plays and novels about apartheid and a biography of Mandela.Ruth First (1925-1982) was a journalist in Johannesburg who, at age 21, exposed brutal conditions among miners and farm laborers.&nbsp;&nbsp;Married to the leader of the South African Communist party, First edited a reform journal.&nbsp;&nbsp;She was arrested and detained in solitary confinement for four months of psychological terror and interrogation.&nbsp;&nbsp;She was later killed by a letter bomb while living in exile.Emma Mashinini (1929-&nbsp;&nbsp; ) was born to a black family in Johannesburg.&nbsp;&nbsp;After leaving an abusive husband, Mashinini worked in a factory where she began her career as a labor organizer.&nbsp;&nbsp;She led labor protests through the 1960s and 70s, and was eventually put in prison for six months, where she survived constant interrogation and intimidation.Shudha Mazumdar (1899-&nbsp;&nbsp;) was born in Calcutta and married at 12 to a Civil Service magistrate. In her travels around India, Mazumdar became interested in women's welfare, and the needs of prostitutes and women prisoners.&nbsp;&nbsp;She organized and worked for many women's groups, and after her husband's death, felt free to support Gandhi and the nationalist movement as well, though women's welfare remained the focus of her life's work.Vijaya Lakshmi Pandit (1900-&nbsp;&nbsp; ) was Nehru's sister and the aunt of Indira Gandhi.&nbsp;&nbsp;She was jailed many times for her active opposition to British rule.&nbsp;&nbsp;After independence, Pandit served as Amba ..."
"Judith Ortiz Cofer",
"Robert Penn Warren",
"Zachary Michael Jack",
"Jon Stewart","Jon Stewart was born in New York and lives with his wife and children in New York City."
"Dylan Rodriguez",
"Barbara Parisi",
"Paul Lauter","Paul Lauter is the Smith Professor of Literature at Trinity College. He has served as president of the American Studies Association and is a major figure in the revision of the American literary canon.Dr. Bryer is an expert on F. Scott Fitzgerald and is president of the International F. Scott Fitzgerald Society. He was an editor of DEAR SCOTT, DEAREST ZELDA: THE LOVE LETTERS OF F. SCOTT AND ZELDA FITZGERALD (Macmillan).John Alberti teaches at Northern Kentucky University and has a Ph.D. in American literature from UCLA. His main area of research is multicultural American literature and culture.Mary Pat Brady is the Director of Latino Studies at Cornell University. Her current work focuses on the emergence of the service economy and the corresponding transformation of Chicana and Latina culture.Dr. Bryer is an expert on F. Scott Fitzgerald and is president of the International F. Scott Fitzgerald Society. He was an editor of DEAR SCOTT, DEAREST ZELDA: THE LOVE LETTERS OF F. SCOTT AND ZELDA FITZGERALD (Macmillan)."
"Jay Parini","Jay Parini is a poet, novelist, and biographer. He is Axinn Professor of English at Middlebury College in Vermont. Among his books are THE LAST STATION (Holt, 1990), BENJAMIN'S CROSSING (Holt, 1997), THE ART OF SUBTRACTION: NEW AND SELECTED POEMS (Braziller, 2005), and WHY POETRY MATTERS (Yale, 2008). He has written biographies of John Steinbeck, Robert Frost, and William Faulkner. He has edited numerous books, including THE OXFORD ENCYCLOPEDIA OF AMERICAN LITERATURE (Oxford, 2004) and THE WADSWORTH ANTHOLOGY OF POETRY (Wadsworth, 2006).Henry Hart is the Mildred and J.B. Hickman Professor of Humanities in the English Department at The College of William and Mary. He has published numerous critical books on modern poets, including THE POETRY OF GEOFFREY HILL (SIU Press, 1986), SEAMUS HEANEY: POET OF CONTRARY PROGRESSIONS (Syracuse UP, 1991), ROBERT LOWELL AND THE SUBLIME (Syracuse UP, 1995), and THE JAMES DICKEY READER (Touchstone, 1999). His biography, JAMES DICKEY: THE WORLD AS LIE (St. Martins, 2000), was runner-up for a Southern Book Critics' Circle Award. He has also published three books of poetry: THE GHOST SHIP (Blue Moon Books,1990), THE ROOSTER MASK (University of Illinois Press, 1998), and BACKGROUND RADIATION (Salt, 2007). He serves as managing editor of VERSE, a poetry magazine he helped found in 1984. His essays and poems have appeared in journals such as THE NEW YORKER, POETRY, THE SOUTHERN REVIEW, DENVER QUARTERLY, THE GETTYSBURG REVIEW, THE GEORGIA REVIEW, THE KENYON REVIEW, and TWENTIETH CENTURY LITERATURE."
"Phillip Lopate","Philip Lopate is the author of Against Joie de Vivre, Bachelorhood, The Rug Merchant, Being with Children, and Confessions of Summer. A recipient of Guggenheim and National Endowment for the Arts fellowships, his works have appeared in Best American Essays, The Paris Review, Pushcart Prize annuals, and many other publications. He lives in Brooklyn, New York, and is Adams Professor of English at Hofstra University."
"John Miller","Andrei Codrescu is a commentator for National Public Radio and the author of numerous books. He lives in New Orleans.John Miller lives in the San Francisco Bay Area. He has co-edited numerous anthologies for Chronicle Books."
"Shawn Wong",
"Elizabeth Brown-Guillory","ELIZABETH BROWN-GUILLORY is Associate Professor of English at the University of Houston."
"ValZrie Orlando","Valérie Orlando is Associate Professor of French, specializing in Francophone Studies, at Illinois Wesleyan University. She is the author of Nomadic Voices of Exile: Feminine Identity in Francophone Literature of the Maghreb (1999)."
"Rajini Srikanth",
"Allan Havis","Allan Havis is a professor of theater and the provost of Thurgood Marshall College at the University of California, San Diego. He is the author of fifteen full-length published plays, which have been produced at many of the nation’s leading playhouses. He edited the collection American Political Plays."
"Kathy-jo Wargin",
"Clifford Chase",
"Al Young",
"Mary Oliver","Mary Oliver is one of the most celebrated and best-selling poets in America. Her books include Red Bird; Our World; Thirst; Blue Iris; New and Selected Poems, Volume One; and New and Selected Poems, Volume Two. She has also published five books of prose, including Rules for the Dance and, most recently, Long Life. She lives in Provincetown, Massachusetts.ROBERT ATWAN has been the series editor of The Best American Essays since its inception in 1986. He has edited numerous literary anthologies and written essays and reviews for periodicals nationwide."
"Robert Bly","Robert Bly's books of poetry include The Night Abraham Called to the Stars and My Sentence Was a Thousand Years of Joy. His awards include the National Book Award for poetry and two Guggenheims. He lives in Minneapolis, Minnesota."
"George Ella Lyon",
"John Christie",
"Allen Mandelbaum",
"Walter Mosley","A genre-bending author who can move from science-fiction to mysteries, Walter Mosley is perhaps best-known -- and loved -- for his 1940s and 50s noir crime novels starring the cool, complex detective Easy Rawlins."
"Jack Kerouac","Jack Kerouac (19221969) was born in Lowell, Massachusetts. His books include On the Road, The Dharma Bums, The Subterraneans, Big Sur, and Visions of Cody.Ann Charters worked with Jack Kerouac to compile his bibliography and after his death wrote the first Kerouac biography. She has edited two volumes of the author's letters as well as the anthologies Beat Down to Your Soul and The Portable Sixties Reader."
"Nathan Irvin Huggins","The late Nathan Irvin Huggins was W.E.B. Du Bois Professor of History and Director of the W.E.B. Du Bois Institute at Harvard University. His books include The Harlem Renaissance."
"Regina Marler",
"Kevin Young",
"Edwidge Danticat","Edwidge Danticat was nominated for the National Book Award in 1995 for her story collection, Krik? Krak! Her first novel, Breath, Eyes, Memory, was published to acclaim when she was twenty-five."
"Bert Hitchcock",
"Wally Lamb","Wally Lamb's books are neither short nor simple; but like a James Patterson of emotions, he pulls readers in and doesn't let go. His affecting novels are marvels of imagination and empathy."
"Esi Sutherland-Addy","Esi Sutherland-Addy (Ph.D. Hon, Hon FCP) is senior research fellow, head of the Language, Literature, and Drama Section, Institute of African Studies, and associate director of the African Humanties Institue Program at the University of Ghana. Aminata Diaw teaches in the Faculty of Arts and Humanities at the Cheikh Anta Diop University in Dakar, Sénégal, where she is currently the public affairs director of the Centre for Cultural and Scientific Programs. She is also Secretary General of the Sénégalese Council of Women and Chair for the subcommittee on Humanities and Social Sciences of the National Commission of UNESCO."
"Countee Cullen",
"Perry Miller",
"Lauro Flores",
"Art Lange",
"Mai Neng Moua","Mai Neng Moua came to the United States as a refugee from Laos with her family in 1981. A graduate of St. Olaf College, she is the public policy coordinator for the Institute for New Americans and cofounder and editor of Paj Ntaub Voice, the premier Hmong literary journal."
"Arlene Hirschfelder",
"Mark Kramer",
"Tey Diana Rebolledo",
"Billy Collins","Enjoying a popularity unheard of for most poets, Billy Collins has had a remarkable late-life surge, aided by NPR exposure and his 2001 and 2002 appointments as the U.S. poet laureate. His style is engaging, conversational, funny, and surprising."
"Patricia Liggins Hill",
"John William Johnson",
"VARIOUS","John Hollander has published eighteen books of poetry, including Picture Window (2003), as well as five books of criticism. He recently retired as Sterling Professor of English at Yale."
"Tony Martin",
"Gayle Wattawa",
"Charles Shain",
"Caroline Kennedy","Caroline Kennedy is the editor of the New York Times bestselling A Patriot's Handbook, Profiles in Courage for Our Time, The Best-Loved Poems of Jacqueline Kennedy Onassis, A Family of Poems, A Family Christmas, and the coauthor of The Right to Privacy and In Our Defense: The Bill of Rights in Action. She serves as the Vice Chair of the Fund for Public Schools in New York City and President of the John F. Kennedy Library Foundation. She lives in New York City."
"Nicholas Bakalar",
"Joel Chandler Harris",
"Harold Pinter",
"Tony Hillerman","Tony Hillerman's experience as a journalist and a lover of Native American culture lent an unmistakable authenticity to his mysteries. In addition to his popular series starring Navajo Tribal Police detectives Chee and Leaphorn, he wrote standalone novels, essays about the Southwest, and a warmly reviewed autobiography (Seldom Disappointed) that revealed not only his talent, but his bravery as a soldier in World War II. He died in 2008 at the age of 83."
"Nancy Curtis","LINDA HASSELSTROM is the author of many highly acclaimed books of nonfiction and poetry and the coeditor of Leaning into the Wind and Woven on the Wind. She divides her time between Wyoming and South Dakota."
"Jean Yu-wen Shen Wu","Jean Yu-wen Shen Wu is a senior lecturer in the American studies program at Tufts University and the coeditor of Asian American Studies: A Reader(Rutgers University Press).Thomas C. Chen is a doctoral candidate in the American civilization department at Brown University."
"Gcina Mhlophe",
"Arnold Rampersad","Arnold Rampersad is Sara Hart Kimball Professor in the Humanities and Associate Dean for the Humanities at Stanford University. His many books include the two-volume Life of Langston Hughes; Days of Grace: A Memoir (co-authored with Arthur Ashe); and the definitive Collected Poems of Langston Hughes.Associate Editor, Hilary Herbold, a graduate of the University of California at Irvine, also earned a doctorate in English and American Literature in 1997 from Princeton University. After teaching for several years in the Department of English, Dr. Herbold is now Associate Dean of Undergraduate Students at Princeton."
"Elisabeth Mermann-Jozwiak","Elisabeth Mermann-Jozwiak is a professor of English at Texas A&amp;M UniversityCorpus Christi. She is the author of Postmodern Vernaculars: Chicana Literature and Postmodern Rhetoric.Nancy Sullivan is a professor of English at Texas A&amp;M UniversityCorpus Christi. Her work has appeared in MELUS, System, and Intercultural Communication Studies, among other periodicals."
"Victoria Holder",
"Brian Charlesworth","Brian and Deborah Charlesworth obtained PhDs in genetics at Cambridge, and have subsequently worked at the Universities of Liverpool, Sussex, Chicago and Edinburgh, and are co-authors of a book about evolution for the general public. Brian is a Fellow of the Royal Society and Honorary Fellow of the American Academy of Arts and Sciences, and Deborah is a Fellow of the Royal Society. Both currently work on questions in population genetics, molecular evolution and genome evolution, and also on mating system evolution, including the evolution of sex chromosomes."
"Ted Shine",
"Robert Schmuhl","Robert Schmuhl is the Walter H. Annenberg-Edmund P. Joyce Chair in American Studies and Journalism and director of the John W. Gallivan Program in Journalism, Ethics, and Democracy at the University of Notre Dame. He is the author or editor of eleven books, including&nbsp;Statecraft&nbsp;and Stagecraft: American&nbsp;Political Life in the Age of Personality (UNDP, 1990, 1992) and&nbsp;Indecent&nbsp;Liberties (UNDP, 2000).&nbsp;"
"Ben Hecht","Ben Hecht (1894–1964) was a reporter and columnist for the Chicago Daily Journal and the Chicago Daily News as well as a playwright, novelist, short story writer, and scriptwriter."
