"Title","Author Name","ISBN","Synopsis","Year","Stock"
"If I Had My Life to Live Over","Sandra Martz","9780918949257","This companion volume to the award-winning anthology, When I Am an Old Woman I Shall Wear Purple, illuminates the experiences of women, young and old, reflecting on the choices they have made. In these stories and poems we see how women's alternatives are both extended and limited by personal belief systems, ethnic and cultural identity, class and economic status, age, and gender. Whether exploring significant public events or small private choices, these word portraits resonate with authenticity and meaning.Publishers WeeklyLacking the eccentricity and distinctiveness of its bestselling predecessor, When I Am an Old Woman I Shall Wear Purple (on women and aging), also edited by Martz, this new volume on the theme of the choices women make throughout their lives is simplistic at best. The language of most stories and poems here is uninventive and often cliched; themes are staid. ``A child is growing somewhere / in this weary world, / an innocent unwary / of emotions shattered,'' writes Shirley Vogler Meister in a sing-song, rhyming poem about adoption; and the narrator of Stephany Brown's story, whose boyfriend promptly enlisted in the Army when at 16 she told him she was pregnant, says that ``having his baby is still the best thing I ever did.'' Too many of these pieces have haunting echoes of a campaign for Family Values. Reading these pages, one would assume women no longer make choices other than having children vs. having an abortion, marriage vs. divorce, or which boy to date. A few excellent tidbits--Janice Levy's story about a Mexican woman entering the U.S. illegally and working as a maid or Pat Schneider's poem about a sister choosing to be a nun--are not enough to make this volume worth reading. 70,000 first printing. (Feb.)","2010","0"
"American Literature (Penguin Academics Series), Vol. 1","William E. Cain","9780321116239","As part of the Penguin Academic series, American Literature offers a wide range of selections with minimal editorial apparatus at an affordable price.","2004","1"
"Essential Saroyan","William Saroyan","9781597140010","His name was on the lips of two generations, and people around the world clamored for his work. An Armenian who grew up in Fersno, California, he traveled the globe, living in Paris, London, New York, and Los Angeles. He rubbed elbows with Steinbeck, traded insults with Hemingway, encouraged a young Toshio Mori, and stole a girl from Orson Welles. He was the only writer to turn down the Pulitzer Prize. Through his plays, short stories, and novels, he exalted the mysteries of youth, pondered the impossibility of love, and spoke to this strange condition of being alive. Above all, he declared that the duty of a writer is to have one hell of a good time.","2005","6"
"The Prentice Hall Anthology of Latino Literature","Eduardo del Rio","9780130266873","This anthology exposes readers to a rapidly growing field of literary studies. This mainstream topic focuses on works and authors who have been forged by a dual consciousness.Topics covered include Cultural and Linguistic Considerations, Mexican-American Literature, Cuban-American Literature, and Puerto-Rican American Literature.For readers interested in learning about Latino Literature.","1901","2"
"Impossible Princess","Kevin Killian","9780872865280","Impossible Princess is a book John Rechy's or Dennis Cooper's characters would read.Publishers WeeklyTen homoerotic stories by Killian (Spreadeagle) explore startling encounters between the straight and gay worlds. Several of the stories, set in the 1970s, appeared in Killian's previous collections, such as “Hot Lights,” in which a strapped-for-cash student gets hired for a hardcore porn shoot, and “Spurt,” set in a Long Island motel where a couple of commuters congregate to indulge in morbid sex. Others are elaborate romances, such as “Dietmar Lutz Mon Amour,” where an erotic encounter with a security guard in the basement of San Francisco's De Young museum provides a fulfilling intellectual kinship for the married narrator, and “Too Far,” in which a straight swimming pool salesman from Maryland clearly wants to experiment with a man at a party, though he may get more than he anticipates. Killian is best being self-consciously writerly, as in “Rochester,” in which a naïve writer arrives at the dilapidated home of the legendary writer “Kevin Killian,” only to discover a decrepit has-been who keeps a pet chimpanzee typing in the bedroom. Fans of Killian's work will be pleased to find fresh stimulation with shades of Dennis Cooper. (Nov.)","2009","9"
"Six American Poets: An Anthology","Joel Conarroe","9780679745259","Here are the most enduring works of six great American poets, collected in a single authoritative volume. From the overflowing pantheism of Walt Whitman to the exquisite precision of Emily Dickinson; from the democratic clarity of William Carlos Williams to the cerebral luxuriance of Wallace Stevens; and from Robert Frost's deceptively homespun dramatic monologues to Langston Hughes's exuberant jazz-age lyrics, this anthology presents the best work of six makers of the modern American poetic tradition. Six American Poets includes 247 poems, among them such famous masterpieces as ""I Hear America Singing,"" ""The Idea of Order at Key West,"" ""The Dance,"" and ""Mending Wall,"" as well as lesser-known works. With perceptive introductory essays by the distinguished scholar Joel Conarroe and selections that capture the distinctive voices and visions of its authors, this volume is an invaluable addition to any poetry library.Publishers WeeklyA collection of famous and lesser-known poems by Whitman, Dickinson, Williams, Stevens, Frost and Hughes. (Dec.)","1993","3"
"Elements of Evolutionary Genetics","Brian Charlesworth","9780981519425","Evolutionary genetics considers the causes of evolutionary change and the nature of variability in evolution. The methods of evolutionary genetics are critically important for the analysis and interpretation of the massive datasets on DNA sequence variation and evolution that are becoming available, as well for our understanding of evolution in general. This book shows readers how models of the genetic processes involved in evolution are made (including natural selection, migration, mutation, and genetic drift in finite populations), and how the models are used to interpret classical and molecular genetic data.","2010","1"
"U.S. Latino Literature Today","Gabriela Baeza Ventura","9780321198433","An anthology of contemporary Latino literature that offers a wide range of literary genres, themes, authors in one volume.","2004","8"
"The Color of Gratitude: And Other Spiritual Surprises","Robert Morneau","9781570758461",,"2009","1"
"Richard Wright: Later Works (Black Boy, American Hunger, The Outsider)","Richard Wright","9780940450677","The library of America is dedicated to publishing America's best and most significant writing in handsome, enduring volumes, featuring authoritative texts. Hailed as the ""finest-looking, longest-lasting editions ever made"" (The New Republic), Library of America volumes make a fine gift for any occasion. Now, with exactly one hundred volumes to choose from, there is a perfect gift for everyone.","1991","1"
"So Fey","Steve Berman","9781590212288","The legends of Fairyland tell that one should never taste the food or sip the drink, or else risk being caught there forever. But the tempting morsels in So Fey are irresistible! Lambda Award-finalist editor Steve Berman brings together acclaimed fantasy writers with some of the brightest names in speculative and LGBT fiction to create tales that are moving and magical. These stories of romance and grief, adolescence and identity, struggle and hope will enchant readers who long for a fantastic escapeand a wonderful twist! One sample of this bewitching treat is sure to trap you in its pages! From the pains of loss in Holly Black's ""The Coat of Stars"" to dealing with issues of identity in Richard Bowes's ""The Wand's Boy"" to Melissa Scott's look at the dangers of love in ""Mister Seeley"" So Fey: Queer Fairy Fiction takes you into worlds that are at once amazing and familiar. With tales that tear and tug at the heart but never cease to enchant, this exciting and unique collection of 22 stories will last long in the minds of readers.","2009","2"
"The Poets Laureate Anthology","Elizabeth Hun Schmidt","9780393061819","The first anthology to gather poems by the forty-three poets laureate of the United States.Publishers WeeklyThe United States has a long tradition of choosing a national poet, though the term poet laureate only came to be used here after 1985. Before that, since its inception in 1935, the post was called consultant in poetry to the Library of Congress. So far we've had 43 of them, including some of America's most famous and best-loved poets, such as Robert Frost, Elizabeth Bishop, and, of course, Billy Collins, perhaps the most popular poet to hold the title (2001 2003), and also the author of the foreword to this enjoyable anthology, which offers a sampling of work from all 43 laureates, plus short introductions about each one. Former New York Times Book Review poetry editor Schmidt calls the laureates ""the gatekeepers of the American idiom,"" and above all, that's what a reader will find here: a good sampling of what the mainstream of American poetry has to offer--the careful descriptions of Bishop, the powerful critiques of Brooks, the surreal landscapes of Simic, Merwin's deep images, Bogan's careful stanzas, Lowell's blustery lines. There are a few occasional poems, but mostly, it's a gathering of great poets hanging together because they held an important job. This will be a wonderful holiday gift for poetry lovers. (Oct.)","2010","2"
"Rising Voices","Arlene Hirschfelder","9780804111676","An astonishing collection of poems and essays written by young contemporary Native Americans. Words of protest against prejudice and oppression, poems of estrangement and pain, cries for lost worlds and lost identities  but also songs of celebration and joy for the future.Publishers WeeklyThrough more than 60 poems and essays, contemporary Native American children and young adults share their feelings about themselves, their people and their land. While some selections in this anthology are reverent in tone, revealing a deep respect for nature, family and tradition, other writings emerge as protests against prejudice and oppression. In the first section of the book, ``Identity,'' the young Native Americans tell of their struggles to fit into a white society without denying their heritage. Another chapter, ``Education,'' traces their growing desire to learn, if not regain, ancestral customs and beliefs. Readers of all cultures should have no trouble relating to the ideas presented here. Characterized by clear imagery and unadorned language, these expressions of anger, regret and hope provide enormous insight into a race of people whose opinions, until recent times, have been too often suppressed. Ages 12-up. (May)","1993","8"
"Black Theatre USA, V2: Plays by African Americans 1935-Today, Vol. 2","Ted Shine","9780684823072","This revised and expanded Black Theatre U.S.A. broadens its collection to fifty-one outstanding plays, enhancing its status as the most authoritative anthology of African American drama with 22 new selections. Building on the well-respected first edition published in 1974, this edition features previously unpublished works including In Dahomey, Liberty Deferred, and Star of Ethiopia, and the Department of Interior's infamous 1918 food pageant. Contemporary plays by women have been added - Robbie McCauley's Sally's Rape, Anna Deavere Smith's Fires in the Mirror, and Aishah Rahman's The Mojo and the Sayso, as well as the modern classics - Ntozake Shange's Colored Girls..., Adrienne Kennedy's Funnyhouse of a Negro, and Lorraine Hansberry's A Raisin in the Sun. The range of this collection extends from 1847 to 1992, including the great names in the African American pantheon of writers - Paul Laurence Dunbar, W. E. B. Du Bois, Angelina Grimke, Zora Neale Hurston, Langston Hughes, Richard Wright, and James Baldwin. The chronology begins with William Wells Brown's The Escape: or, a Leap for Freedom, based on his own life as an escaped slave. Two expatriot authors, Ira Aldridge and Victor Sejour, provide glimpses of life in Europe, while at home, playwrights struggled with the issues of birth control, miscegenation, lynching, and migration. The book embraces both commercial successes such as George C. Wolfe's The Colored Museum, and Charles Fuller's A Soldier's Play, as well as lesser-known masterpieces - Ben Caldwell's The First Militant Preacher, Owen Dodson's The Confession Stone, and Ted Shine's Contribution. The stylistic range, too, runs the gamut of genre from the realism of Ted Ward, Lonne Elder III, and Ed Bullins to the surrealism of Marita Bonner and Aishah Rahman. Comedy is present in Abram Hill's On Strivers Row and Douglas Turner Ward's Day of Absence which mock the racism of both Blacks and Whites.","1996","4"
"In a Narrow Grave: Essays on Texas","Larry McMurtry","9780684868691","Writing with characteristic grace and wit, Larry McMurtry tackles the full spectrum of his favorite themes -- from sex, literature, and cowboys to rodeos, small-town folk, and big-city slickers. First published in 1968, In a Narrow Grave is the classic statement of what it means to come from Texas. In these essays, McMurtry opens a window into the past and present of America's largest state.","2001","2"
"Prison Writings in 20th-Century America","H. Bruce Franklin","9780140273052","This unique collection dramatizes the history of the modern American prison and offers a harrowing vision of prison life in America today. H. Bruce Franklin, a leading authority on American prison writing, has gathered more than sixty selections from some of the most powerful works - memoirs, stories, novels, poemswritten in the last hundred years.Publishers WeeklyHarrowing in their frank detail and desperate tone, the more than 60 selections in this anthology of writings about the prison experience in America pack an emotional wallop. According to Wicker's outspoken foreword, ""prisons and the violence and despair they symbolize... are a blot on American life and history."" The U.S. penal system contains a population greater than that of New Hampshire, and even the pretense of rehabilitation was long ago subsumed by the need to punish. Beginning with accounts of the victims of Jim Crow and Black Code laws in the segregationist South and going through the contemporary journalism of Dannie Martin and Mumia Abu-Jamal, these views from behind the bars should be required reading for anyone concerned about the violence in our society and the high rate of recidivism. Franklin, in his introduction, argues that the institution of slavery has its modern counterpart in penal servitude While he sometimes seems stuck in the clichs of a New Left rhetoric, he has done a fine job of rediscovering the prison writers of the 1920s (a period of real flowering among convict writers, supported by H.L. Mencken's American Mercury magazine) like Jim Tully, Chester Himes and Ernie Booth. In this context, the more famous works of writers such as Nelson Algren, Malcolm X and Jack Henry Abbot, gain a fuller resonance. The book also highlights writers, like Piri Thomas, who are alive today but neglected. If the test of an anthology is whether it makes the reader want to pursue the works of the authors it presents, this provocative volume definitely qualifies. (June)","1998","1"
"Don't Squat With Yer Spurs On! II, Vol. 2","Texas Bix Bender","9780879058326","By popular demand, Texas Bix Bender writes a sequel to his best-selling DON'T SQUAT WITH YER SPURS ON!, which became an immediate cowboy humor classic and has been reprinted 26 times. In this new book, Bender has written 125 funny quips for life. Here are some samples: ""A good pard will ride with you till hell freezes over, and a little while on the ice."" ""If you're ridin' a high horse, there ain't no way to get down off it gracefully."" ""Nature gave us all something to fall back on, and sooner or later we all land flat on it."" ""Never be too quick to criticize yourself. It's not fair to all your friends and relatives who are dying to do it for you.""","1997","9"
"Sky Begins at Your Feet","Caryn Mirriam-Goldberg","9781888160437",,"2009","2"
"Listening for God: Contemporary Literature And The Life Of Faith: Volume 2","Paula J. Carlson","9780806628448","Where do you listen for God? In this new collection of stories and essays, the challenge is to pay attention everywhere. Listening for God is a resource intended to help readers investigate how life and faith merge in surprising ways and places. Contemporary American literature may not be the most predictable place to listen for God, but it may well turn out to be among the most rewarding.","1998","6"
"Inside Out/Outside In: Exploring American Literature","Victoria Holder","9780395986059","With a focus on literary analysis, this anthology of short stories and poems helps students develop reading skills and enjoyment.","2005","4"
"The Flu Season and Other Plays","Will Eno","9781559362917","New works by the author of the Pulitzer finalist Thom Pain (based on nothing).","2006","9"
"To The Shore Once More, Volume II: A Journey Down The Jersey Shore; Prose, Poetry, And Works Of Art","Frank Finale","9780963290625","""Alan and I had been out on the water now for more than two hours, and were starting to tire. We began drifting more and more, letting the current propel us. I put my hand back into the water, and for a moment imagined myself connected to the Atlantic Ocean a few miles away. I felt myself sweep past the small beaches along the creek's shore, past the white yachts in the marinas on Barnegat Bay, past the tiny Sedge Islands with their myriad wildlife, and beyond the shoals of the shifting barrier islands, into the open ocean. From the seat of this aluminum canoe, I felt as if I were connected to all the Jersey Shoreto all creation, in fact. I tilted my face toward the sun and smiled."" from ""Canoeing Down Cedar Creek"" ""The wind howls, and the sand responds. Everything is in flux. The beach you step on today will not be the same one you step on tomorrow. But you will never know it. Nature repeats itself endlessly, ever changing, ever unchanged."" from ""A Winter s Sketch"" Jersey Shore Publications is pleased to bring you To The Shore Once More, Volume II, the sequel and companion volume to the bestseller, To The Shore Once More. Containing more pages and artwork than Volume I (with 180 pages of text and 144 full-color paintings by more than forty area artists), this coffee table book of prose, poetry, and works of art takes readers on a journey down the Jersey Shorefrom the tip of Sandy Hook to the point of Cape May.  Join once more acclaimed author and poet, Frank Finale, and his family on a journey through the past and present as he once again captures life along the shore while exploring universal themes that touch us all. These graceful personal essays and poems elicit an emotional response and lingering memory. They are also perfect for reading aloud throughout the year and, as with Volume I, may even become a family tradition in years to come!  The essays and poems are organized from north to south taking place in all four seasons in many of the towns and regions along the coast including Highlands, Asbury Park, Ocean Grove, Bradley Beach, Belmar, Spring Lake, Point Pleasant, Seaside, Island Beach, the Toms River area, Bayville, Long Beach Island, the Pine Barrens, Brigantine, Atlantic City, and Cape May.  Also inside, you ll find resplendent, full color paintings of some of the loveliest landmarks and locations at the Jersey Shore. Each have been painted by area artists including Paula Kolojeski, Dick LaBonte, Theresa Troise Heidel, Ludlow Thorston, Virginia Perle, Margaret Tourison Berndt, Sheila Mickle, Muriel Rogers, Dawn Hotaling, Stephen Harrington, Dede Esenlohr, Al Barker, Carol Freas, Tine Kirkland Graham, Dennis Foy, Linda Hejduk-Fortin, Pauline Mickle, Sue Oliver, Barbara Cocker, Susan Walsh McLean, and over twenty additional artists. This companion volume is one of the most enchanting and beautiful books about the Jersey Shore ever published. It will bring you closer to the places you love at the Shore and is sure to bring many nights of reading and viewing pleasureyou, your family, and friends will treasure it for years to come.","2001","1"
"The American Stage: Writing on Theater from Washington Irving to Tony Kushner","Lawrence Senelick","9781598530698","Here is the story, told firsthand through electric, deeply engaged writing, of America's living theater, high and low, mainstream and experimental. Drawing on history, criticism, memoir, fiction, poetry, and parody, editor Laurence Senelick presents writers with the special knack ""to distill both the immediate experience and the recollected impression, to draw the reader into the charmed circle and conjure up what has already vanished."" Through the words of playwrights and critics, actors and directors, and others behind the footlights, the entertainments and high artistic strivings of successive eras come vividly, sometimes tumultuously, to life. Observers from Washington Irving and Fanny Trollope to Walt Whitman and Mark Twain evoke the world of the nineteenth-century playhouse in all its raucous vitality. Henry James confesses his early enthusiasm for playgoing; Willa Cather reviews provincial productions of Uncle Tom's Cabin and Antony and Cleopatra. The increasing diversity and ambition of the American theater is reflected in Hutchins Hapgood's account of New York's Yiddish theaters at the turn of the century, Carl Van Vechten's review of the Sicilian actress Mimi Aguglia, Alain Locke's comments on the emerging African-American theater in the 1920s, and Ezra Pound's response to James Joyce's play Exiles and theatrical modernism. Enthusiasts for the New Stagecraft, such as Lee Simonson and Djuna Barnes, are matched by champions of pop culture such as Gilbert Seldes and Fred Allen. S. J. Perelman lampoons Clifford Odets; Edmund Wilson acclaims Minsky's Burlesque; Harold Clurman explains Stanislavski's Method; Gore Vidal dissects the compromises of commercial playwriting. A host of playwrightsamong them Thornton Wilder, Arthur Miller, Tennessee Williams, Lorraine Hansberry, Edward Albee, Wendy Wasserstein, David Mamet, and Tony Kushnerare joined by such renowned critics as Stark Young, George Jean Nathan, Brooks Atkinson, and Eric Bentley.","2010","9"
"Voices in Our Blood: America's Best on the Civil Rights Movement","Jon Meacham","9780375758812","Voices in Our Blood is a literary anthology of the most important and artful interpretations of the civil rights movement, past and present.Black Issues Book ReviewWithout question, the civil rights movement was one of the most significant periods in American history. Meacham s new book, which pays homage to the period, is a compilation of work spotlighting some of the nation s most powerful and vociferous writers and journalists.","2003","4"
